,上映日期,分类,国家,导演演员,标题,简评,评分,评论人数
98,2011 , 剧情喜剧, 韩国 ,导演:姜炯哲Hyeong-CheolKang   主演:沈恩京Eun-kyungShim/闵孝琳Hy,阳光姐妹淘,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,8.8,290062人
99,2003 , 动作冒险奇幻, 美国 ,导演:戈尔·维宾斯基GoreVerbinski   主演:约翰尼·德普JohnnyDepp/,加勒比海盗,约翰尼·德普的独角戏。,8.6,373982人
100,2002 , 犯罪剧情, 巴西法国 ,导演:KátiaLund/FernandoMeirelles   主演:AlexandreRodrigues/Lea,上帝之城,被上帝抛弃了的上帝之城。,8.9,167173人
101,1936 , 喜剧剧情爱情, 美国 ,导演:查理·卓别林CharlesChaplin   主演:查理·卓别林CharlesChaplin,摩登时代,大时代中的人生，小人物的悲喜。,9.2,97943人
102,2008 , 剧情战争, 英国美国 ,导演:马克·赫门MarkHerman   主演:阿沙·巴特菲尔德AsaButterfield/,穿条纹睡衣的男孩,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,8.9,162786人
103,2009 , 动作战争科幻冒险, 美国英国 ,导演:詹姆斯·卡梅隆JamesCameron   主演:萨姆·沃辛顿SamWorthington,阿凡达,绝对意义上的美轮美奂。,8.6,566815人
104,1995 , 剧情爱情, 美国奥地利瑞士 ,导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke,爱在黎明破晓前,缘分是个连绵词，最美不过一瞬。,8.7,238438人
105,2014 , 剧情犯罪悬疑惊悚, 美国 ,导演:大卫·芬奇DavidFincher   主演:本·阿弗莱克BenAffleck/罗莎蒙,消失的爱人,年度最佳date movie。,8.7,386329人
106,1984 , 科幻动画奇幻冒险, 日本 ,导演:宫崎骏HayaoMiyazaki   主演:岛本须美SumiShimamoto/松田洋治Y,风之谷,动画片的圣经。,8.8,189122人
107,2004 , 剧情爱情, 美国 ,导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke,爱在日落黄昏时,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,8.7,212928人
108,1995 , 剧情爱情动画音乐, 日本 ,导演:近藤喜文YoshifumiKondo   主演:本名阳子YoukoHonna/小林桂树K,侧耳倾听,少女情怀总是诗。,8.8,182411人
109,2006 , 动画悬疑科幻惊悚, 日本 ,导演:今敏SatoshiKon   主演:林原惠美MegumiHayashibara/古谷彻T,红辣椒,梦的勾结。,8.9,147043人
110,1987 , 剧情爱情武侠古装, 香港 ,导演:程小东Siu-TungChing   主演:张国荣LeslieCheung/王祖贤JoeyW,倩女幽魂,两张绝世的脸。 ,8.6,276018人
111,2011 , 剧情, 美国 ,导演:托尼·凯耶TonyKaye   主演:艾德里安·布洛迪AdrienBrody/马西,超脱,穷尽一生，我们要学会的，不过是彼此拥抱。,8.8,186951人
112,2013 , 剧情犯罪悬疑, 韩国 ,导演:金秉祐Byeong-wooKim   主演:河正宇Jung-wooHa/李璟荣Kyeong-y,恐怖直播,恐怖分子的“秋菊打官司”。,8.7,242692人
113,2010 , 喜剧动画奇幻冒险家庭, 美国 ,导演:迪恩·德布洛斯DeanDeBlois/克里斯·桑德斯ChrisSanders   主演:,驯龙高手,和谐的生活离不开摸头与被摸头。,8.7,305508人
114,1988 , 动画剧情战争, 日本 ,导演:高畑勋IsaoTakahata   主演:辰己努/白石绫乃/志乃原良子,萤火虫之墓,幸福是生生不息，却难以触及的远。 ,8.7,217915人
115,2004 , 喜剧剧情爱情, 美国 ,导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:汤姆·汉克斯TomHanks,幸福终点站,有时候幸福需要等一等。 ,8.6,239804人
116,1999 , 剧情喜剧, 日本 ,导演:北野武TakeshiKitano   主演:北野武TakeshiKitano/关口雄介Yus,菊次郎的夏天,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,8.7,196309人
117,2014 , 剧情, 日本 ,导演:森淳一JunichiMori   主演:桥本爱AiHashimoto/三浦贵大Takahir,小森林 夏秋篇,那些静得只能听见呼吸的日子里，你明白孤独即生活。,8.9,145084人
118,1999 , 喜剧剧情爱情, 香港 ,导演:周星驰StephenChow/李力持Lik-ChiLee   主演:周星驰StephenCh,喜剧之王,我是一个演员。,8.5,342501人
119,1954 , 动作冒险剧情, 日本 ,导演:黑泽明AkiraKurosawa   主演:三船敏郎ToshirôMifune/志村乔,七武士,时代悲歌。,9.2,82889人
120,2010 , 动画奇幻冒险, 日本 ,导演:米林宏昌HiromasaYonebayashi   主演:志田未来MiraiShida/神木,借东西的小人阿莉埃蒂,曾经的那段美好会沉淀为一辈子的记忆。,8.7,232714人
121,2010 , 剧情家庭, 香港中国大陆 ,导演:罗启锐AlexLaw   主演:吴君如SandraNg/任达华SimonYam/钟绍,岁月神偷,岁月流逝，来日可追。,8.6,324003人
122,2010 , 喜剧动画冒险, 美国法国 ,导演:皮艾尔·柯芬PierreCoffin/克里斯·雷纳德ChrisRenaud   主演:,神偷奶爸,Mr. I Don't Care其实也有Care的时候。,8.5,406157人
123,2003 , 犯罪剧情悬疑惊悚, 韩国 ,导演:奉俊昊Joon-hoBong   主演:宋康昊Kang-hoSong/金相庆Sang-kyun,杀人回忆,关于连环杀人悬案的集体回忆。,8.7,223099人
124,2009 , 纪录片, 法国瑞士西班牙美国阿联酋 ,导演:雅克·贝汉JacquesPerrin/雅克·克鲁奥德JacquesCluzaud   主演:,海洋,大海啊，不全是水。,9.0,102819人
125,2003 , 喜剧剧情爱情, 英国美国法国 ,导演:理查德·柯蒂斯RichardCurtis   主演:休·格兰特HughGrant/柯林,真爱至上,爱，是个动词。,8.5,333071人
126,2004 , 悬疑惊悚恐怖, 美国 ,导演:詹姆斯·温JamesWan   主演:雷·沃纳尔LeighWhannell/加利·艾,电锯惊魂,真相就在眼前。,8.7,210973人
127,2008 , 剧情爱情, 英国美国 ,导演:丹尼·鲍尔DannyBoyle/洛芙琳·坦丹LoveleenTandan   主演:戴夫,贫民窟的百万富翁,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,8.5,416012人
128,2007 , 动作悬疑惊悚, 美国德国 ,导演:保罗·格林格拉斯PaulGreengrass   主演:马特·达蒙MattDamon/,谍影重重3,像吃了苏打饼一样干脆的电影。,8.7,191632人
129,1993 , 剧情喜剧爱情同性家庭, 台湾美国 ,导演:李安AngLee   主演:赵文瑄WinstonChao/郎雄SihungLung/归亚,喜宴,中国家庭的喜怒哀乐忍。,8.8,149952人
130,1994 , 剧情动作爱情武侠古装, 香港台湾 ,导演:王家卫KarWaiWong   主演:张国荣LeslieCheung/张曼玉MaggieC,东邪西毒,电影诗。,8.6,267321人
131,2000 , 犯罪剧情悬疑惊悚, 美国 ,导演:克里斯托弗·诺兰ChristopherNolan   主演:盖·皮尔斯GuyPearce/,记忆碎片,一个针管引发的血案。,8.5,296247人
